agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
248,113419.3,1.0,285,285,1758875135765,true
249,113451.5,174.0,286,286,1758875136061,true
250,113451.5,17.0,287,287,1758875136477,true
251,113451.5,30.0,288,288,1758875136844,true
252,113451.5,30.0,289,289,1758875137195,true
253,113451.5,82.0,290,290,1758875137310,true
254,113451.5,30.0,291,291,1758875137512,true
255,113451.5,30.0,292,292,1758875137813,true
256,113451.5,140.0,293,297,1758875138074,true
257,113451.5,30.0,298,298,1758875138557,true
258,113451.5,30.0,299,299,1758875138881,true
259,113451.5,30.0,300,300,1758875139231,true
260,113451.5,30.0,301,301,1758875139559,true
261,113451.5,30.0,302,302,1758875139855,true
262,113451.5,1.0,303,303,1758875139960,true
263,113451.5,31.0,304,305,1758875140138,true
264,113451.5,30.0,306,306,1758875140536,true
265,113451.5,30.0,307,307,1758875140829,true
266,113451.5,30.0,308,308,1758875141139,true
267,113451.5,30.0,309,309,1758875141491,true
268,113451.5,30.0,310,310,1758875141852,true
269,113451.5,30.0,311,311,1758875142134,true
270,113451.5,30.0,312,312,1758875142482,true
271,113451.5,30.0,313,313,1758875142826,true
272,113451.5,30.0,314,314,1758875143181,true
273,113451.5,30.0,315,315,1758875143463,true
274,113451.5,30.0,316,316,1758875143768,true
275,113451.5,1.0,317,317,1758875144506,true
276,113451.5,100.0,318,319,1758875147992,true
277,113451.6,1.0,320,320,1758875148869,true
278,113451.6,82.0,321,321,1758875150348,true
279,113451.6,20.0,322,322,1758875152146,true
280,113451.5,67.0,323,323,1758875152146,true
281,113454.9,83.0,324,324,1758875152157,true
282,113454.9,20.0,325,325,1758875152763,true
283,113451.6,1.0,326,326,1758875154521,true
284,113451.6,96.0,327,327,1758875155327,true
285,113451.5,6.0,328,329,1758875155429,true
286,113451.5,96.0,330,331,1758875155530,true
287,113451.5,30.0,332,332,1758875155900,true
288,113451.5,98.0,333,333,1758875156034,true
289,113451.5,30.0,334,334,1758875156225,true
290,113451.5,30.0,335,335,1758875156575,true
291,113451.5,30.0,336,336,1758875156898,true
292,113451.5,30.0,337,337,1758875157211,true
293,113451.5,30.0,338,338,1758875157508,true
294,113451.5,30.0,339,339,1758875157840,true
295,113451.5,30.0,340,340,1758875158167,true
296,113451.5,30.0,341,341,1758875158504,true
297,113451.5,1.0,342,342,1758875158927,true
298,113451.5,90.0,343,343,1758875159548,true
299,113451.5,80.0,344,344,1758875162496,true
300,113451.5,1.0,345,345,1758875164289,true
301,113451.5,102.0,346,346,1758875166966,true
302,113451.5,1.0,347,347,1758875168642,true
303,113451.5,1.0,348,348,1758875171079,true
304,113451.5,1.0,349,349,1758875173005,true
305,113451.5,82.0,350,350,1758875174240,true
306,113451.5,96.0,351,351,1758875174532,true
307,113451.5,1.0,352,352,1758875177374,true
308,113451.5,99.0,353,353,1758875182426,true
309,113451.5,1.0,354,354,1758875182739,true
310,113451.5,6.0,355,355,1758875182890,true
311,113451.5,24.0,356,357,1758875183790,true
312,113428.4,6.0,358,358,1758875184902,true
313,113428.4,30.0,359,359,1758875185267,true
314,113428.4,30.0,360,360,1758875185627,true
315,113428.4,30.0,361,361,1758875185931,true
316,113428.4,30.0,362,362,1758875186284,true
317,113428.4,1.0,363,363,1758875186609,true
318,113428.4,1.0,364,364,1758875188390,true
319,113428.4,6.0,365,365,1758875189331,true
320,113428.4,30.0,366,366,1758875189690,true
321,113428.4,30.0,367,367,1758875190061,true
322,113428.4,30.0,368,368,1758875190367,true
323,113428.4,30.0,369,369,1758875190716,true
324,113428.4,30.0,370,370,1758875191060,true
325,113428.4,30.0,371,371,1758875191346,true
326,113428.4,30.0,372,372,1758875191700,true
327,113428.6,1.0,373,373,1758875192744,true
328,113448.5,30.0,374,374,1758875194045,true
329,113459.3,30.0,375,375,1758875195107,true
330,113459.3,30.0,376,376,1758875195401,true
331,113459.3,30.0,377,377,1758875195749,true
332,113459.3,13.0,378,378,1758875196107,true
333,113448.5,1.0,379,379,1758875197109,true
334,113448.5,1.0,380,380,1758875201471,true
335,113448.5,1.0,381,381,1758875202353,true
336,113448.5,1.0,382,382,1758875205839,true
337,113437.7,6.0,383,383,1758875209795,true
338,113437.7,18.0,384,385,1758875210135,true
339,113437.7,30.0,386,386,1758875210426,true
340,113437.7,30.0,387,387,1758875210772,true
341,113437.7,19.0,388,388,1758875211120,true
342,113428.6,1.0,389,389,1758875215867,true
343,113428.6,1.0,390,390,1758875217900,true
344,113452.0,325.0,391,392,1758875218532,true
345,113452.0,20.0,393,394,1758875218651,true
346,113452.0,20.0,395,396,1758875218754,true
347,113452.0,31.0,397,399,1758875218856,true
348,113452.0,20.0,400,401,1758875218959,true
349,113452.0,20.0,402,403,1758875219063,true
350,113452.0,30.0,404,404,1758875219237,true
351,113452.0,30.0,405,405,1758875219596,true
352,113452.0,30.0,406,406,1758875219964,true
353,113452.0,31.0,407,408,1758875220224,true
354,113452.0,84.0,409,409,1758875220424,true
355,113452.0,124.0,410,411,1758875220607,true
356,113452.0,30.0,412,412,1758875220881,true
357,113452.0,30.0,413,413,1758875221229,true
358,113452.0,30.0,414,414,1758875221584,true
359,113452.0,94.0,415,415,1758875222457,true
360,113452.0,179.0,416,419,1758875222971,true
361,113452.0,6.0,420,420,1758875223258,true
362,113428.4,1.0,421,421,1758875224586,true
363,113428.4,1.0,422,422,1758875229969,true
364,113428.4,1.0,423,423,1758875233883,true
365,113428.4,1.0,424,424,1758875234336,true
366,113452.0,430.0,425,425,1758875235234,true
367,113452.0,126.0,426,427,1758875235518,true
368,113452.0,95.0,428,428,1758875235751,true
369,113452.0,483.0,429,429,1758875235879,true
370,113428.4,6.0,430,430,1758875237788,true
371,113428.4,1.0,431,431,1758875238689,true
372,113452.0,73.0,432,432,1758875243355,false
373,113452.0,475.0,433,433,1758875243360,true
374,113452.0,140.0,434,435,1758875243715,true
375,113452.0,31.0,436,437,1758875244054,true
376,113452.0,30.0,438,438,1758875244408,true
377,113452.0,30.0,439,439,1758875244759,true
378,113452.0,96.0,440,440,1758875244918,true
379,113452.0,116.0,441,442,1758875245098,true
380,113452.0,91.0,443,443,1758875245314,true
381,113452.0,30.0,444,444,1758875245446,true
382,113452.0,22.0,445,445,1758875245794,true
383,113452.0,2.0,446,446,1758875245798,false
384,113428.4,6.0,447,447,1758875247053,true
385,113428.4,6.0,448,448,1758875247440,true
386,113428.4,30.0,449,449,1758875247819,true
387,113428.4,6.0,450,452,1758875248777,true
388,113428.4,30.0,453,453,1758875249085,true
389,113428.4,127.0,454,455,1758875249379,true
390,113428.4,1.0,456,456,1758875249542,true
391,113428.4,31.0,457,458,1758875249710,true
392,113428.4,30.0,459,459,1758875250033,true
393,113452.0,587.0,460,460,1758875250294,true
394,113452.0,30.0,461,461,1758875250435,true
